,normalized_year,vd17_id,record_number,field_number,field_code,last_name,first_name,full_name_vd17,member_number,role,role2
71,1678,35:752489Q,290900,18,028A,Albrecht,Johann,johann albrecht,158,aut,VerfasserIn
72,1675,27:753450F,303743,20,028A,Happe,Volkmar,volkmar happe,814,aut,VerfasserIn
73,1675,56:740467Z,303870,19,028A,Wrangel,Carl Gustaf,carl gustaf wrangel,523,aut,VerfasserIn
74,1674,7:681849P,1200,17,028C,Gersdorff,Nicolaus,nicolaus gersdorff,662,dte,WidmungsempfängerIn
75,1674,23:664754H,1408,24,028C,König,Michael,michael könig,759,dte,WidmungsempfängerIn
76,1674,547:627177M,1780,23,028C,Gersdorff,Nicolaus,nicolaus gersdorff,662,dte,WidmungsempfängerIn
77,1674,1:068483H,1914,20,028C,Seckendorff,Veit Ludwig,veit ludwig seckendorff,615,dte,WidmungsempfängerIn
78,1698,7:701564Y,2275,21,028C,Gersdorff,Nicolaus,nicolaus gersdorff,662,dte,WidmungsempfängerIn
79,1698,7:698233N,2327,21,028C,Gersdorff,Nicolaus,nicolaus gersdorff,662,dte,WidmungsempfängerIn
80,1700,23:685204K,3493,19,028C,Gersdorff,Nicolaus,nicolaus gersdorff,662,dte,WidmungsempfängerIn
81,1674,1:009646A,4079,21,028C,Aldenburg,Anton,anton aldenburg,653,dte,WidmungsempfängerIn
82,1674,1:002396M,4108,24,028C,Gersdorff,Nicolaus,nicolaus gersdorff,662,dte,WidmungsempfängerIn
83,1674,14:022835Y,4242,23,028C,Gersdorff,Nicolaus,nicolaus gersdorff,662,dte,WidmungsempfängerIn
84,1674,3:306248N,4753,22,028C,Gersdorff,Nicolaus,nicolaus gersdorff,662,dte,WidmungsempfängerIn
85,1674,39:165004F,4771,19,028C,SinoldSchütz,Johann Helwig,johann helwig sinoldschütz,810,dte,WidmungsempfängerIn
86,1674,39:129700T,5864,18,028C,Gersdorff,Nicolaus,nicolaus gersdorff,662,dte,WidmungsempfängerIn
87,1674,23:255605V,6216,18,028C,Erskein,Alexander,alexander erskein,421,dte,WidmungsempfängerIn
88,1673,17:750645L,6297,21,028C,Schöbel und Rosenfeld,Georg,georg schöbel und rosenfeld,817,hnr,GefeierteR
89,1673,15:748421N,6321,20,028C,Ernst,Johann,johann ernst,003,prt,DruckerIn
90,1673,15:748421N,6321,20,028C,Ernst,Johann,johann ernst,342,prt,DruckerIn
91,1673,15:748421N,6321,20,028C,Ernst,Johann,johann ernst,702,prt,DruckerIn
92,1673,17:747602P,6325,23,028C,Weyhe,Eberhard,eberhard weyhe,079,wst,VerfasserIn von ergänzendem Text
93,1673,17:747602P,6325,23,028C,Weyhe,Eberhard,eberhard weyhe,79,wst,VerfasserIn von ergänzendem Text
94,1673,17:744675U,6360,24,028C,Wrangel,Carl Gustaf,carl gustaf wrangel,523,dte,WidmungsempfängerIn
95,1673,23:740870Z,6410,22,028C,Barby,Albrecht Friedrich,albrecht friedrich barby,070,dte,WidmungsempfängerIn
96,1673,23:740870Z,6410,23,028C,Barby,Jost Günther,jost günther barby,213,dte,WidmungsempfängerIn
97,1673,23:666984X,7239,17,028C,Friesen,Carl,carl friesen,597,dte,WidmungsempfängerIn
98,1673,23:666984X,7239,17,028C,Friesen,Carl,carl friesen,538,dte,WidmungsempfängerIn
99,1673,1:658788X,7363,21,028C,Jena,Friedrich,friedrich jena,801,dte,WidmungsempfängerIn
100,1673,32:647919N,7468,21,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
101,1673,12:637353G,7577,21,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
102,1673,7:634815L,7607,18,028C,Freystein,Adam Samuel,adam samuel freystein,809,dte,WidmungsempfängerIn
103,1673,1:071314N,7839,17,028C,Jena,Friedrich,friedrich jena,801,dte,WidmungsempfängerIn
104,1673,1:063090Y,7864,19,028C,SinoldSchütz,Johann Helwig,johann helwig sinoldschütz,810,dte,WidmungsempfängerIn
105,1673,1:063090Y,7864,20,028C,Grote,Otto,otto grote,503,dte,WidmungsempfängerIn
