,normalized_year,vd17_id,record_number,field_number,field_code,last_name,first_name,full_name_vd17,member_number,role,role2
258,1666,1:068626C,37914,18,028C,Seckendorff,Veit Ludwig,veit ludwig seckendorff,615,dte,WidmungsempfängerIn
259,1666,1:005608X,38164,23,028C,König,Michael,michael könig,759,dte,WidmungsempfängerIn
260,1666,14:017409F,38314,19,028C,Schlomach,Melchior,melchior schlomach,742,dte,WidmungsempfängerIn
261,1666,14:001904R,38345,20,028C,Friesen,Carl,carl friesen,597,dte,WidmungsempfängerIn
262,1666,14:001904R,38345,20,028C,Friesen,Carl,carl friesen,538,dte,WidmungsempfängerIn
263,1666,12:139409Y,38611,20,028C,Barby,Levin,levin barby,743,dte,WidmungsempfängerIn
264,1666,1:014412W,38732,20,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
265,1666,23:235205S,38858,19,028C,Grote,Otto,otto grote,503,dte,WidmungsempfängerIn
266,1666,12:143273Q,39236,19,028C,Bülow,Julius,julius bülow,163,dte,WidmungsempfängerIn
267,1666,3:611025D,39515,21,028C,Albertus,Johannes,johannes albertus,158,dte,WidmungsempfängerIn
268,1666,3:300079C,39610,18,028C,Heidenreich,David Elias,david elias heidenreich,837,dte,WidmungsempfängerIn
269,1666,3:019282C,39611,22,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
270,1666,3:019282C,39611,24,028C,Jena,Friedrich,friedrich jena,801,dte,WidmungsempfängerIn
271,1665,16:749868T,40191,19,028C,Schneuber,Johann Matthias,johann matthias schneuber,498,hnr,GefeierteR
272,1665,16:749844Z,40192,19,028C,Schneuber,Johann Matthias,johann matthias schneuber,498,hnr,GefeierteR
273,1665,16:749793U,40194,19,028C,Schneuber,Johann Matthias,johann matthias schneuber,498,hnr,GefeierteR
274,1665,23:742048F,40263,25,028C,Krauß,Rudolph Wilhelm,rudolph wilhelm krauß,735,dte,WidmungsempfängerIn
275,1665,56:740890N,40278,22,028C,Wrangel,Carl Gustaf,carl gustaf wrangel,523,dte,WidmungsempfängerIn
276,1665,15:740817P,40279,23,028C,Jena,Friedrich,friedrich jena,801,dte,WidmungsempfängerIn
277,1665,15:737176K,40334,16,028C,Alvensleben,Gebhard,gebhard alvensleben,479,dte,WidmungsempfängerIn
278,1665,29:720973W,40525,18,028C,Hertingshausen,Moritz,moritz hertingshausen,332,dte,WidmungsempfängerIn
279,1665,3:676935A,41070,17,028C,Adlershelm,Christian Lorentz,christian lorentz adlershelm,840,dte,WidmungsempfängerIn
280,1665,547:657002G,41287,17,028C,Naso,Hans Christoph,hans christoph naso,834,dte,WidmungsempfängerIn
281,1665,547:625369X,41641,17,028C,Wex,Johann Christoph,johann christoph wex,753,dte,WidmungsempfängerIn
282,1665,23:623325G,41661,18,028C,Kanne,Christian Ernst,christian ernst kanne,821,dte,WidmungsempfängerIn
283,1665,1:042892W,41881,19,028C,Milagius,Martinus,martinus milagius,315,dte,WidmungsempfängerIn
284,1665,125:019715G,42070,21,028C,Ludwig,Christian,christian ludwig,372,dte,WidmungsempfängerIn
285,1665,125:019715G,42070,21,028C,Ludwig,Christian,christian ludwig,780,dte,WidmungsempfängerIn
286,1665,125:019715G,42070,26,028C,Ludwig,Christian,christian ludwig,372,dte,WidmungsempfängerIn
287,1665,125:019715G,42070,26,028C,Ludwig,Christian,christian ludwig,780,dte,WidmungsempfängerIn
288,1665,14:060310Z,42136,18,028C,Wex,Johann Christoph,johann christoph wex,753,dte,WidmungsempfängerIn
289,1665,1:089985M,42736,20,028C,Freystein,Adam Samuel,adam samuel freystein,809,dte,WidmungsempfängerIn
290,1665,23:280730V,43233,25,028C,Adam,Johann,johann adam,705,dte,WidmungsempfängerIn
291,1665,3:611008P,43413,19,028C,Friesen,Carl,carl friesen,597,dte,WidmungsempfängerIn
