normalized_year,genre,n,phase
1660,Flugschrift,11,phase 2
1662,Leichenpredigt,11,phase 2
1664,Flugschrift,11,phase 2
1664,Schulprogramm,11,phase 2
1670,Dissertation,11,phase 3
1671,Ordensliteratur,11,phase 3
1673,Schäferdichtung,11,phase 3
1675,Streitschrift,11,phase 3
1678,Rede,11,phase 3
1678,Vertrag,11,phase 3
1681,Amtsdruckschrift,11,phase 3
1681,Leichenpredigt,11,phase 3
1617,Gelegenheitsschrift,10,phase 1
1619,Dissertation,10,phase 1
1620,Streitschrift,10,phase 1
1621,Geldwesen,10,phase 1
1642,Dissertation,10,phase 1
1642,Hochschulschrift,10,phase 1
1651,Gesellschaftsschrift,10,phase 2
1652,Predigt,10,phase 2
1653,Hochschulschrift,10,phase 2
1653,Leichenpredigt,10,phase 2
1654,Rede,10,phase 2
1655,Leichenpredigt,10,phase 2
1663,Drama,10,phase 2
1664,Leichenpredigt,10,phase 2
1669,Amtsdruckschrift,10,phase 3
1671,Amtsdruckschrift,10,phase 3
1674,Leichenpredigt,10,phase 3
1678,Geldwesen,10,phase 3
1678,Predigt,10,phase 3
1682,Predigt,10,phase 3
1617,Verordnung,9,phase 1
1620,Dissertation,9,phase 1
1621,Lyrik,9,phase 1
1628,Lyrik,9,phase 1
1629,Amtsdruckschrift,9,phase 1
1631,Lyrik,9,phase 1
1631,Verordnung,9,phase 1
1634,Lyrik,9,phase 1
1637,Dissertation,9,phase 1
1639,Predigt,9,phase 1
1643,Dissertation,9,phase 1
1644,Flugschrift,9,phase 1
1644,Roman,9,phase 1
1647,Amtsdruckschrift,9,phase 1
1649,Rede,9,phase 1
1650,Festbeschreibung,9,phase 1
1653,Amtsdruckschrift,9,phase 2
1653,Predigt,9,phase 2
1656,Briefsammlung,9,phase 2
1656,Leichenpredigt,9,phase 2
1657,Brief,9,phase 2
1662,Flugschrift,9,phase 2
1662,Schulprogramm,9,phase 2
1663,Dissertation,9,phase 2
1663,Gebet,9,phase 2
1672,Kriegskunde,9,phase 3
1674,Dissertation,9,phase 3
1677,Geldwesen,9,phase 3
1678,Leichenpredigt,9,phase 3
1680,Geldwesen,9,phase 3
1618,Hochschulschrift,8,phase 1
1620,Gelegenheitsschrift,8,phase 1
1620,Lyrik,8,phase 1
1621,Amtsdruckschrift,8,phase 1
